merchant_raw,category_id,amount_cents,notes
#316 SPORT CHEK         EDMONTON,,1600,
#334 SPORT CHEK         WEST VANCOUVER,,1455,
#5120 SPORT CHEK        VICTORIA,,6046,
"0804723 BC LTD VICTORIA, BC",,500,
1838-TOR ISTORE - T1    MISSISSAUGA,,3163,
365 MARKET CA 1 365 MAR MISSISSAUGA,,188,
"365 MARKET CA 1 MISSISSAUGA, ON",,179,
579 - LEE'S DONUTS @    RICHMOND,,394,
7 ELEVEN STORE #29903   KELOWNA,,354,
7-ELEVEN STORE #37899   VICTORIA,,408,
"7-ELEVEN STORE #37899 VICTORIA, BC",,408,
7102351 - TIM HORTONS D MISSISSAUGA,,564,
=BIRYANIPALACE 001      VICTORIA,,7240,
=DIAL-A-STYLEBARBERSH 0 BURNABY,,4400,
=EXPRESSNEWS&SMOKES 001 N-VANCOUVER,,595,
=HYDERABADBIRYANIHOUS 0 VANCOUVER,,6520,
=NEROWAFFLES 001        VANCOUVER,,2174,
=WELAPROGRESSIVEHEALT 0 N-VANCOUVER,,1885,
A & W # 0540 NORTH VANC NORTH VANCOUV,,1082,
A & W VANCOUVER AIRQPSP RICHMOND,,1101,
A AND W 0593            BURNABY,,1552,
A&W #0541 NORTH VANCOUV NORTH VANCOUV,,588,
A&W #1587 EDMONTON INTE EDMONTON INTE,,450,
"ACCU-SEARCH REGISTRY EDMONTON, AB",,2800,
ADIDAS CANADA LIMITED   WOODBRIDGE,,7350,
"AIR CANADA 0144258388665 WINNIPEG, MB 23.63 USD @ 1.373677",,3246,
Air India Limited db TE Toronto,,192794,
AIRCANADA               WINNIPEG,,9918,
"ALBERTA REGISTRY SERVI BLACKFALDS, AB",,15065,
ALFA TEA BURNABY LTD.   SURREY,,866,
AMARAVATHI RESTAURANTS  BANGALORE,,1239,
AMAZON MARKEPLACE NA PA,,26932,
AMAZON.CA               866-216-1072,,-2199,
AMAZON.CA PRIME MEMBER  AMAZON.CA/PRI,,1119,
AMAZON.CA*BF5F55H80     866-216-1072,,4762,
AMAZON.CA*BF94F6BB0     866-216-1072,,3148,
AMAZON.CA*GD83Z1RT3     AMAZON.CA,,13632,
AMAZON.CA*M160992Z3     866-216-1072,,2199,
AMAZON.CA*NU48W2RT0     866-216-1072,,6299,
AMAZON.CA*NZ8HT5A52     AMAZON.CA,,5913,
"Amazon.ca*O10QV3HO3 AMAZON.CA, ON",,13350,
AMAZON.COM.CA           WWW.AMAZON.CO,,6666,
AMERICAN EAGLE 922      BURNABY,,2014,
AMERICAN EAGLE OUTFITTE MISSISSAUGA,,24129,
AMZN MKTP CA            866-216-1072,,-2662,
AMZN MKTP CA            WWW.AMAZON.CA,,-6159,
AMZN MKTP CA*DK6BZ7II3  WWW.AMAZON.CA,,4952,
AMZN MKTP CA*DV7LA4B93  866-216-1072,,2555,
AMZN MKTP CA*G13JJ09T3  866-216-1072,,4895,
AMZN MKTP CA*GA2958KS3  866-216-1072,,4140,
AMZN MKTP CA*LN37T7DE3  866-216-1072,,3247,
AMZN MKTP CA*M90GG4ZK3  866-216-1072,,298,
AMZN MKTP CA*N40282BD0  866-216-1072,,7348,
AMZN MKTP CA*NM0UU64P1  866-216-1072,,3149,
AMZN MKTP CA*NN6X66F03  WWW.AMAZON.CA,,4083,
AMZN MKTP CA*NU59O9WS0  866-216-1072,,1994,
AMZN MKTP CA*NU7ZP4W80  866-216-1072,,3044,
AMZN MKTP CA*NU9JB67V0  866-216-1072,,1561,
AMZN MKTP CA*NU9K49W90  866-216-1072,,1469,
AMZN MKTP CA*OL9BU3UD3  866-216-1072,,2865,
AMZN MKTP CA*QY06T0UO3  866-216-1072,,7840,
AMZN MKTP CA*RC2QY5RN2  WWW.AMAZON.CA,,4479,
AMZN MKTP CA*RC8620EG2  WWW.AMAZON.CA,,6159,
AMZN MKTP CA*TK2WS3VU0  WWW.AMAZON.CA,,13103,
AMZN MKTP CA*UY1GB2OM3  866-216-1072,,2976,
AMZN MKTP CA*UZ1BN2N53  866-216-1072,,11667,
AMZN MKTP CA*X031N2543  866-216-1072,,1119,
AMZN MKTP CA*XD5M34YE3  866-216-1072,,7037,
AMZN MKTP US*9M0OJ13C3  AMZN.COM/BILL,,4749,
"ANDSOITGOES COFFEE ROA VICTORIA, BC",,1907,
ANEJO RESTAURANT - EDMO EDMONTON,,5603,
ANOMALY                 SAN FRANCISCO,,1458,
ANTHROPIC               SAN FRANCISCO,,2100,
ANTHROPIC* CLAUDE SUB   SAN FRANCISCO,,11997,
ANTON'S PASTA BAR 41367 BURNABY,,5432,
"APPLE.COM/BILL 866-712-7753, ON",,671,
"APPLE.COM/BILL TORONTO, ON",,144,
APPLE.COM/CA            TORONTO,,5145,
APPLE.COM/IN            BENGALURU,,78887,
ARC GOVT CTR LRT FVM ED EDMONTON,,1000,
ARC NAIT LRT FVM EDMONT EDMONTON,,2600,
ARC TRANSIT BUS EDMONTO EDMONTON,,900,
ARC TRANSIT ONLINE EDMO EDMONTON,,2000,
AROMA CAFE & SNACKS BAR EDMONTON,,2424,
ARYIRA FOODS LTD 53168  VICTORIA,,2213,
AUBERGE QUEBEC          QUEBEC,,4772,
Automated Banking Machine ATM DEPOSIT HILLSIDE CTR 2E42,,300000,
Automated Banking Machine ATM DEPOSIT HILLSIDE CTR 2F41,,40000,
Automated Banking Machine ATM WITHDRAWAL HASTINGS and GILMORE 1E30,,30000,
Automated Banking Machine ATM WITHDRAWAL HILLSIDE CTR 2D94,,200000,
Automated Banking Machine ATM WITHDRAWAL HILLSIDE CTR 2E42,,4000,
AVIS.CA                 ETOBICOKE,,-24388,
BA LE DELI & BAKERY 001 VANCOUVER,,782,
"BAGUETTE ET CHOCOLAT QUEBEC, QC",,802,
BAM*HUNGERHUB           TORONTO,,866,
BARBURRITO 413207667    EDMONTON INTERN,,1311,
BASANT SWEETS AND RESTA SURREY,,874,
BASKIN ROBBINS          CHENNAI,,1776,
BASKIN ROBBINS #363924  BURNABY,,1248,
BATH & BODY WORKS (CANA VICTORIA,,1848,
BATH AND BODY WORKS 559 MONROE,,8106,
"BB.Q CHICKEN METROTOWN BURNABY, BC",,2730,
BBYMARKETPLACE*PULSELAB TORONTO,,28204,
BC-HYDRO-BILL-PMNT      800-224-9376,,5553,
"BCF - BC, SPIRIT OF     VICTORIA",,3515,
BCF - COASTAL CELEBRATI VICTORIA,,1814,
BCF - COASTAL RENAISSAN VICTORIA,,335,
"BCF - NEWWESTMSTER, QUE VICTORIA",,3527,
